name,price,status,shipping,free_returns,items_sold
Shop on eBay,2000,Brand New,,False,
Convertible Bag Brown Leather Large Women Crossbody Shoulder Backpack Handbag ,8000,Brand New,0,False,
Fjallraven Kanken Laptop 13 Unisex Small Two Tone Fabric Backpack 27171325,9225,Pre-Owned,0,False,
Men Backpack Tactical Sling Bag Chest Shoulder Fanny Pack Cross Body Molle Pouch,1299,Brand New,0,False,
Men Laptop Backpack Anti-Theft Waterproof Travel Shoulder Bag W/ USB Charge Port,2299,Brand New,0,True,
30L Outdoor Military Molle Tactical Backpack Rucksack Camping Hiking Travel Bag,2599,Brand New,0,True,958
Eddie Bauer Waxed Canvas Backpack Bag Leather Accents Hiking Adventure EUC,1850,Pre-Owned,1265,False,
Men's Sling Crossbody Bag Anti-theft Chest Shoulder Messenger Backpack USB Port,1398,Brand New,0,True,
Outdoor Tactical Sling Bag Military MOLLE Crossbody Pack Chest Shoulder Backpack,1499,Brand New,0,True,
"Men Anti Theft Extra Large 17.3"" Laptop Backpack USB Travel School Business Bag",3299,Brand New,0,False,
The Original Babies's Alley Backpack Green,999,Pre-Owned,1710,False,
30L Outdoor Military Molle Tactical Backpack Rucksack Camping Hiking Travel Bag,2198,Brand New,0,True,
Under Armour Hudson backpack,820,Pre-Owned,2220,False,
Men's Leather Sling Pack Chest Shoulder Crossbody Bag Backpack Biker Satchel,1299,Brand New,0,True,1173
Mens Sling Chest Bag PU Leather Cross Body Fanny Packs USB Charging Backpack US,795,Brand New,0,True,
Waterproof Travel Backpack Shoulder Laptop Bag USB Charging Anti Theft Rucksack,2395,Brand New,0,True,
Outdoor Waterproof Men School Backpack Laptop Students Shoulder Bag Travel Bag,2759,Brand New,0,False,
Sprayground backpack limited edition Pokémon,5000,Pre-Owned,955,False,
Multifunction Waterproof Travel Lightweight Backpack Shoulder Laptop Bag 35L US,2294,Brand New,0,True,
Monster Energy Drink Promo Laptop Bag Backpack Bookbag Alpinestars Motocross E1,4999,Pre-Owned,0,True,
30L/40L/80LOutdoor Military Tactical Backpack Rucksack Camping Hiking Bag Travel,2089,Brand New,0,False,
VANS BACKPACK CHECKERBOARD pink/WHITE CHECK CHECKER BAG ,1800,Pre-Owned,1115,False,
"Extra Large TSA Friendly Durable Travel Backpack Anti-Theft 17"" Laptop Bag",4295,Brand New,0,True,949
Barbour waxed canvas backpack,6500,Pre-Owned,2220,False,
Mens Backpack Waterproof Tactical Sling Chest Pack Shoulder Bag Outdoor Hiking,799,Brand New,0,True,
Timbuk2 Backpack Messenger Bag Green,1330,Pre-Owned,1020,False,
Men's Sling Backpack Waterproof Anti-theft Shoulder Crossbody Bag USB Port Pack,2098,Brand New,0,True,
LOWE ALPINE klettersack 30 L backpack in blue pre-owned used ,3999,Pre-Owned,2220,False,
Men Backpack Molle Tactical Sling Chest Pack Shoulder Bag Outdoor Hiking Travel,1298,Brand New,0,True,
Men Women Sling Bag Chest Fanny Packs Cross Body Travel Shoulder Backpack NEW,795,New (Other),0,True,
Mens Sling Backpack PU Leather Cross Body Chest Bag Fanny Packs USB Charging NEW,789,Brand New,0,True,
Men Women Sling Bag Chest Fanny Packs Cross Body Travel Sports Shoulder Backpack,755,Brand New,0,True,85
"Men Anti Theft Extra Large 17.3"" Laptop Backpack USB Travel School Business Bag",2459,Brand New,0,True,
Anti Theft Mens Sling Backpack Shoulder Bag Outdoor Travel Chest Crossbody Bag,1299,Brand New,0,True,
Fossil Men’s Evan Leather Backpack Brown EUC,6999,Pre-Owned,0,False,
L L Bean Super Deluxe Book Backpack Vintage Lavender AS IS,1500,Pre-Owned,2186,False,
Girl Women Retro Backpack PU Leather Shoulder Handbag Fashion Travel Bag Satchel,2296,Brand New,0,True,44
Under Armour  Hustle 5.0  Backpack School Laptop Book Bag Blue,999,Pre-Owned,1710,False,
Mens Backpack Tactical Sling Shoulder Bag Molle Travel Chest Pack Outdoor Hiking,1299,Brand New,0,True,
Men Molle Pouch Tactical Chest Shoulder Sling Bag Bum Pack Cross Body Backpack,1299,Brand New,0,False,
LOT OF (2) Swiss Tech Grey Expandable Backpack Laptop/Tablet Pocket Reflective ,2519,Brand New,0,True,
Herschel Backpack - Settlement Dark Gray Red Striped Interior EUC,3499,Pre-Owned,0,False,
Heavy Duty Clear Transparent Backpack See Through Book-bag,1299,Brand New,0,False,1267
"Fjallraven Kanken 15"" Laptop Backpack Gray #217172",1999,Pre-Owned,6235,False,
"Patagonia Black Hole Backpack 32L , Black , Extremely good condition!",13800,Pre-Owned,1205,False,
Official IRONMAN Santa Rosa Backpack Black - USED,1999,Pre-Owned,1100,False,
Waterproof Mini Backpack Women Purse Nylon Shoulder Rucksack Small Travel Bag,1399,Brand New,0,True,1998
Patagonia Blue Carrying Bag & Backpack! ,6500,Pre-Owned,2875,False,
30L Outdoor Military Molle Tactical Backpack Rucksack Camping Hiking Travel Bag,1597,Brand New,0,True,
"JanSport Backpack Zebra Striped Pink Lightweight Comfortable, 7 Outer Pockets",950,Pre-Owned,1365,False,
Tactical Chest Shoulder Bag Molle Crossbody Sling Backpack Outdoor Travel Hiking,1059,Brand New,199,True,
samsonite backpack with detachable pouch ,670,Pre-Owned,1890,False,
Men Backpack Molle Tactical Sling Chest Pack Shoulder Bag Outdoor Hiking Travel,1399,Brand New,0,True,
Roots Canada Brown Leather Adjustable Strap Shoulder Tote - Rucksack - Crossbody,6500,Pre-Owned,2220,False,
"15.6 "" Laptop Backpack Anti-Theft Waterproof Travel Shoulder Bag USB Charge Port",3515,Brand New,0,False,
Patagonia Yerba Backpack 22L Orange Brown Unisex Hiking Padded Nylon Pockets,3999,Pre-Owned,1875,False,
Men Women Sling Bag Chest Fanny Packs Cross Body Travel Shoulder Backpack Sports,1079,Brand New,0,True,
19.5” Bondka Eolus Backpack HEAVY DUTY Blue School Travel Bag Laptop Sleeve,1499,Pre-Owned,1099,False,
Waterproof Men Women Sling Bag Chest Fanny Cross Body Travel Shoulder Backpack,1389,Brand New,0,False,268
Sling Backpack Men's Genuine Leather Crocodile Crossbody Chest Bag Sport Daypack,2569,Brand New,0,True,
Mens Laptop Backpack Anti-theft Travel Shool Bag Rucksack w/ USB Charging Port,2279,Brand New,0,False,
Women Girls Leather Backpack Shoulder School Satchel Vintage Travel Bag Rucksack,2390,Brand New,0,True,
30L Sport Canvas Travel School Book Bag Satchel Backpack Hiking Camping Unisex,3098,Brand New,0,False,
Anti-Theft Men's Sling Crossbody Bag Chest Shoulder Messenger Backpack USB Port,1415,Brand New,0,True,63
New With Tags Jansport Padded Super Break School Bag Backpack,2695,Brand New,0,False,
Men's Leather Backpack Shoulder Bag Weekender Travel School Laptop Bags Daypack,3239,Brand New,0,True,258
