name,price,status,shipping,free_returns,items_sold
Shop on eBay,2000,Brand New,,False,
Skullcandy HESH ANC Wireless Over-Ear Headset (Certified Refurbished)-BLACK,3999,Certified - Refurbished,0,True,4543
TWS Bluetooth Earbuds True Wireless Earphone Waterproof Headset Premium Sound,1799,Brand New,0,True,
Jabra Elite 7 Pro - Black Certified Refurbished,8299,Certified - Refurbished,0,True,871
Sony WH-1000XM5/B Wireless Industry Leading Noise Canceling Bluetooth Headphones,32800,,0,False,
Bone Conduction Headphones Bluetooth 5.0 Wireless Earbuds Outdoor Sport Headset,1556,,0,False,3693
JBL LIVE 500BT Wireless Bluetooth Over-Ear Headphones with Built-in Microphone,3995,,0,False,
Skullcandy HESH ANC Wireless Over-Ear Headset (Certified Refurbished)-BLACK,3999,,0,False,
Beats by Dr. Dre Beats Studio Buds Wireless Noise Canceling Bluetooth Earphones,7095,,0,False,1796
Bluetooth 5.1 Earbuds True Wireless Headphones Super Bass Waterproof Headset,2499,Brand New,0,True,
JBL LIVE 500BT Wireless Bluetooth Over-Ear Headphones with Built-in Microphone,3995,Brand New,0,True,10000
JBL Tune 510BT Wireless Bluetooth On-Ear Headphones,2995,Brand New,0,False,1171
"Harman Kardon FLY TWS True Wireless Bluetooth In-ear Headphones, Black",4999,Brand New,0,True,600
Skullcandy HESH ANC Wireless Over-Ear Headset (Certified Refurbished)-BLACK,3999,,0,False,
Skullcandy INDY ANC FUEL Noise Canceling Bluetooth Earbuds-Certified Refurbished,2263,,0,False,
Sony WH-1000XM5/B Wireless Industry Leading Noise Canceling Bluetooth Headphones,32800,,0,False,
Sony WH-CH710N/B Wireless Bluetooth Noise Cancelling Headphones,4999,,0,False,
Skullcandy INDY EVO Wireless Bluetooth Earbuds  (Certified Refurbished),1999,,0,False,
"Bose Sport Bluetooth Sweat-Resistant Headphones, Certified Refurbished",9900,,0,False,
Sony WH-CH710N/H Wireless Bluetooth Noise Cancelling Headphones,4999,,0,False,
"Bose Noise Cancelling Bluetooth Headphones 700, Certified Refurbished",22900,,0,False,
Skullcandy INDY ANC FUEL Noise Canceling Bluetooth Earbuds-Certified Refurbished,2263,Certified - Refurbished,0,True,4616
Bose SoundSport Wireless Bluetooth Sweat-Resistant Headphones,7900,Brand New,0,True,1635
Bluetooth Earbuds TWS 5.3 all phones laptop tablet Wireless Earphone  Waterproof,1299,Brand New,0,True,
Sony WH-1000XM5/B Wireless Industry Leading Noise Canceling Bluetooth Headphones,32800,Certified - Refurbished,0,True,3303
Bone Conduction Headphones Bluetooth 5.0 Wireless Earbuds Outdoor Sport Headset,1556,Brand New,0,True,3693
Jabra Elite 75t True Wireless In-Ear Bluetooth Headphones with Charging Case,4095,New (Other),0,True,361
"AKG Y600NC Bluetooth Wireless Over-ear Noise Cancelling Headphones, Black",9999,Brand New,0,True,71
Wireless Bluetooth Headphones Super Bass Neckband Stereo Earphones Headsets Mic ,1449,Brand New,0,True,
Bluetooth Waterproof Headset TWS 5.0 Wireless Earphone Earbuds Headphones Stereo,1189,Brand New,0,True,
Sony WH-CH710N/B Wireless Bluetooth Noise Cancelling Headphones,4999,Certified - Refurbished,0,True,8633
Beats by Dr. Dre Beats Studio Buds Wireless Noise Canceling Bluetooth Earphones,7095,New (Other),0,True,1796
Skullcandy INDY EVO Wireless Bluetooth Earbuds  (Certified Refurbished),1999,Certified - Refurbished,0,True,8443
JBL Vibe 100TWS True Wireless In-Ear Headphones with Charging Case,2995,Brand New,0,False,421
5.0 Wireless Bluetooth Headset Headphones Foldable Stereo Super Bass Earphones,1199,Brand New,0,False,142
"Bose Sport Bluetooth Sweat-Resistant Headphones, Certified Refurbished",9900,Certified - Refurbished,0,True,4273
Bluetooth 5.0 Headset TWS Wireless Earphones Earbuds Stereo Headphones Ear Hook,2499,Brand New,0,True,
Sony MDRZX110/BLK Stereo Headphones-Black,1595,Brand New,0,True,5351
Sony WH-CH710N/H Wireless Bluetooth Noise Cancelling Headphones,4999,Certified - Refurbished,0,True,
TWS Bluetooth Earbuds True Wireless Headphones Waterproof Bluetooth 5.0 Headset,1399,Brand New,0,True,
"Bose Noise Cancelling Bluetooth Headphones 700, Certified Refurbished",22900,Certified - Refurbished,0,True,7049
 JLab Audio Studio Wired On-Ear  Headphones BLUE COLOR.,999,New (Other),0,False,291
Skullcandy CRUSHER EVO Wireless Over-Ear Headset (Certified Refurb)-TRUE BLACK,9999,Certified - Refurbished,0,True,1751
For iPhone 6 7 8 Plus  X XS MAX XR 11 12 13 Wired Headset Earbud Headphones gift,899,Brand New,0,True,
Jabra Elite 7 Active - Black Certified Refurbished,7299,Certified - Refurbished,0,True,898
TWS Wireless Earbuds Bluetooth 5.0 Waterproof Headset Headphones With Power Bank,1998,Brand New,0,True,
Sony WF-C500 Truly Wireless In-Ear Bluetooth Earbud Headphones,2999,Certified - Refurbished,0,True,
Beats by Dr. Dre - Beats Studio Buds Wireless Noise Cancelling Bluetooth Earbuds,6975,New (Other),0,True,111
Wireless Solo Pro 6 Beats Earphones Earbuds headphones Bluetooth Beats,3099,Brand New,0,True,63
