name,price,status,shipping,free_returns,items_sold
Shop on eBay,2000,Brand New,,False,
FOR MacBook Pro/Air 2018-2022 Clear Hard Case +Keyboard Cover +Screen Protector,1599,Brand New,0,True,
Laptop Bag Case With Shoulder Strap For 15'' 16'' 17'' inch HP Lenovo Asus Mac,1799,Brand New,0,True,
"USA Laptop Bag Case With Shoulder Strap For15"" 16"" 17""inch HP Lenovo Asus Mac",2298,Brand New,0,True,
"【For MacBook Pro 13""/14""/16""】Soft Rubberized Case with KB Cover Screen Protector",1844,Brand New,0,True,
"Laptop Bag Case With Shoulder Strap For 13""14""15.6"" HP/Lenovo/ Asus/Macbook DELL",1559,Brand New,0,True,
Leather Sleeve (for Apple MacBook Pro 13-Inch Laptop) - Black,3100,Brand New,0,True,256
"Laptop Notebook Carrying Briefcase Bag Case for 15.6"" 17.3"" 18"" up to 18.4"" inch",1850,Brand New,0,True,1006
For Macbook Air 15 13 11 Pro 13 12 Retina 13inch M2 Shell Laptop Hard Case Cover,964,Brand New,0,True,
Lenovo 15.6-inch Laptop Urban Sleeve Case,1799,Brand New,0,True,399
14-inch Laptop Shoulder Bag Padded Computer Tablet Carrying Case for MacBook HP,1999,Brand New,0,True,96
laptop cases ,3000,Pre-Owned,0,False,
Neoprene Sleeve Laptop Computer Case Bag with Handle Fit 10 inch to 17.4 inch,1495,Brand New,0,False,
"Laptop Sleeve Case Bag Cover For Apple MacBook Lenovo HP Acer Dell 11"" 13"" 15""",935,Brand New,0,True,15
Laptop Sleeve for MacBook Air Pro 13 14 15 16 inch M1 Max HP Dell Notebook Bag,1799,Brand New,0,False,
"SUPCASE Heavy Duty for Apple MacBook Pro 13"" Rugged Laptop Case TPU Bumper Cover",2099,Brand New,0,True,921
"13"" 14"" 15""Laptop Sleeve Carry Bag W/ Shoulder Strap Pouch Case Inch for Macbook",1209,Brand New,0,False,21
"Laptop Case Bag Sleeve For 10"" 11 13 14 15 16Inch Macbook Pro Air HP Lenovo DELL",949,Brand New,0,False,42
"New ListingLaptop Bag Case With Shoulder Strap For 13""14""15.6"" HP/Lenovo/ Asus/Macbook DELL",11,Brand New,0,True,
"Laptop Bag Case for 15'' 15.6"" 16'' 17"" 18"" 18.4""  HP/ Lenovo/ Asus/Macbook",1850,Brand New,0,True,841
Laptop Case Bag Sleeve For 11 13 14 inch Macbook Pro Air HP Tablets Chromebook,999,Brand New,0,False,
New Laptop Mac-Book NoteBook Sleeve Bag Travel Carry Case Cover 11 14 15 16inch,535,Brand New,0,False,
"Dell 11"" Laptop Notebook Chromebook Ultrabook Sleeve Carrying Case Bag New 1YF50",494,Brand New,0,True,
Waterproof Laptop Sleeve Case Carry Bag Notebook For Macbook Lenovo Dell HP ASUS,1234,Brand New,0,True,
Laptop Sleeve Bag Computer Carrying Case for 14'' 15.6 inch HP Dell Lenovo Asus,1099,Brand New,0,True,
"Laptop Sleeve Case Bag Cover Handle For MacBook Air Pro Lenovo HP Dell 14""/15.6""",1157,Brand New,0,False,
"13.3"" 14"" 15.6"" 16"" Laptop Sleeve Case Briefcase Bag 360° Protection Shockproof",1699,Brand New,0,False,
13 Inch Laptop Shoulder Bag Electronics Carrying Case for MacBook/Chromebook US,1989,Brand New,0,True,
"New ListingLaptop Shoulder Carry Bag Pouch Case For 13"" 14"" 15.6"" HP/ Lenovo/ Asus/Macbook",399,Brand New,0,True,
Laptop Case Bag Sleeve For 11 13 14 15 16 inch Macbook Pro Air HP Lenovo DELL,799,Brand New,0,False,
Sleeve Case Laptop Bag For MacBook Air Pro 11-13 15 Retina A1466 Lenovo HP Dell,1154,Brand New,0,True,7
MacBook Pro / Air / Retina 13 inch Plastic Hard Shell Case Matte Skin Cover,995,Brand New,0,True,
PU Leather Laptop Case Cover Protector For Apple- MacBook-  Pro 13.3Inch,719,Brand New,0,False,
MacBook Pro 16 inch Case 2019 A2141 SUPCASE UB Rugged Slim Cover Cooling Airflow,2099,Brand New,0,True,
"14""/15.6"" Laptop Handbag Sleeve Case Carrying Bag Macbook Air Pro Lenovo Dell",1204,Brand New,0,True,
Notebook Sleeve Laptop Carry Bag 15.6 Inch Laptop Case Protector,849,Brand New,0,True,445
"SUPCASE for 2020-2016 Apple MacBook Pro 13"" Rugged Laptop Case Hard Shell Cover",2659,Brand New,0,True,83
Rubberized hard Case Cover for MacBook Air Pro 13 11 12 15 inch +Keyboard Cover,777,Brand New,0,False,80
"Rubberized Hard Case Shell+Keyboard Cover for Macbook Air 11"" Pro13"" 14"" 15"" 16""",1499,Brand New,0,True,
"Logitech 16"" Laptop Sleeve - BLACK (IL/RT5-839-000158-UG)",599,Refurbished,0,True,541
14 Inch Laptop Bag Case Sleeve with Handle For HP Lenovo Asus Macbook,1290,Brand New,0,True,
Case for MacBook Air 13 / Pro 13 A2337 A2338 M1 Protective Folio Book Cover,1779,Brand New,0,True,
"Lenovo ThinkPad 14"" Professional Slim Topload Case",2999,Brand New,0,True,
Case for New MacBook Air 13.6 Inch M2 Chip A2681 2022 Snap On Hard Shell Cover,1379,Brand New,0,True,
"15-15.6 Inch Laptop Sleeve Case Bag For 15"" 15.6"" Laptops with Accessory Pouch",1799,Brand New,0,False,
"13"" 14"" 15.6"" Laptop Shoulder Bag Briefcase Sleeve Case For Business Travel",2299,Brand New,0,False,
"Laptop Rubberized Cover Case Hard Shell for Macbook Air/Pro/Retina 11"" 13"" 15""",1230,Brand New,0,True,
"Laptop Sleeve Case Bag For 13"" MacBook Air/Pro M2 2022, 14"" MacBook Pro M1 2021",1899,Brand New,0,False,
For MacBook Pro 13 inch Case 2020 A2338 M1 A2251 A2289 Cystral Clear Hard Shell,1057,Brand New,0,True,82
Laptop Bag Shoulder Handbag Notebook Sleeve Case w/ Shoulder Strap 13 14 15 inch,1559,Brand New,0,True,
"COMPUTER / LAPTOP CASES ~ TABLETS ~GREAT FOR COLLEGE ~TRAVELMATE FITS 15""/ 15.4""",600,Brand New,365,False,
Laptop Sleeve Case Bag Pouch Cover For MacBook Air Pro 11 12 13 14 15 Dell HP,1424,Brand New,0,False,55
Laptop Bag for MacBook Air Pro 13 14 15 16 inch M1 M2 HP Dell Notebook Sleeve,1199,Brand New,0,False,
Case for MacBook Air 13.6 Inch M2 model A2681 (2022) Snap On Hard Shell Cover,1189,Brand New,0,True,
"New ListingFor 2022 Macbook Air 13.6"" M2 A2681 Screen Protector Clear Case Keyboard Cover",1799,Brand New,0,False,
For Macbook Air 13 Inch 2021 2020 (M1) A2337 A2179 A1932 Case Hard Plastic Cover,1199,Brand New,0,False,843
New ListingTumi Laptop Case Cover Sleeve Padded Nylon Mesh Pocket Red,1499,Pre-Owned,825,False,
New ListingKate Spade Black & Pink Padded Laptop Tablet Case Zip Sleeve Saffiano Leather,3999,Pre-Owned,2420,False,
New Listing13.3 in padded zipper round sleeve for laptop Marbled Gray￼ & Plastic Hard Case,99,Brand New,899,False,
"Laptop Shoulder Carry Bag Pouch Case For 13"" 14"" 15.6"" HP/ Lenovo/ Asus/Macbook",1559,Brand New,0,True,
Pelican 1085 HardBack Hard Shell Laptop Case w/ Carry Strap - No Foam Included,2899,Pre-Owned,0,True,55
Hard Case for 2022 MacBook Pro Air 13 14 16 inch M2 A2681 A2338 M1 A2337 A2442,1699,Brand New,0,True,
